epoch,train_total,train_total_raw,train_base,train_unc,train_neg,train_base_norm,train_unc_norm,train_neg_norm,val_total,val_total_raw,val_base,val_unc,val_neg,val_base_norm,val_unc_norm,val_neg_norm,ref_base,ref_unc,ref_neg
124,0.126145,0.152989,0.006959,0.783057,0.338622,0.024539,0.992907,0.011577,0.184036,0.230719,0.022385,0.794145,0.644599,0.078932,1.006967,0.022039,0.283597,0.788651,29.248373
125,0.143866,0.196959,0.011595,0.783291,0.535172,0.040886,0.993203,0.018298,0.163117,0.170543,0.016690,0.802461,0.368038,0.058849,1.017511,0.012583,0.283597,0.788651,29.248373
126,0.118255,0.122441,0.004865,0.786854,0.194457,0.017153,0.997722,0.006648,0.152524,0.173249,0.013969,0.792852,0.399975,0.049256,1.005327,0.013675,0.283597,0.788651,29.248373
127,0.127792,0.155299,0.007340,0.784984,0.347305,0.025882,0.995350,0.011874,0.178778,0.204044,0.021097,0.795359,0.517052,0.074392,1.008505,0.017678,0.283597,0.788651,29.248373
128,0.120970,0.143883,0.005511,0.784631,0.299546,0.019431,0.994902,0.010241,0.179652,0.246006,0.021285,0.785492,0.730856,0.075055,0.995994,0.024988,0.283597,0.788651,29.248373
129,0.118530,0.129678,0.004909,0.785818,0.230936,0.017310,0.996407,0.007896,0.154856,0.161273,0.014611,0.796900,0.334858,0.051520,1.010460,0.011449,0.283597,0.788651,29.248373
130,0.118278,0.132872,0.004805,0.785820,0.247421,0.016945,0.996411,0.008459,0.169216,0.212236,0.018567,0.787207,0.574740,0.065469,0.998169,0.019650,0.283597,0.788651,29.248373
131,0.140675,0.181306,0.010820,0.783697,0.460580,0.038154,0.993718,0.015747,0.165931,0.212829,0.017513,0.790248,0.581457,0.061752,1.002025,0.019880,0.283597,0.788651,29.248373
132,0.129563,0.159455,0.007894,0.782498,0.366554,0.027837,0.992198,0.012532,0.316904,0.401696,0.059261,0.779969,1.322190,0.208964,0.988991,0.045206,0.283597,0.788651,29.248373
133,0.150025,0.197427,0.013333,0.783888,0.528524,0.047015,0.993961,0.018070,0.165689,0.193765,0.017640,0.789981,0.485637,0.062200,1.001687,0.016604,0.283597,0.788651,29.248373
134,0.134065,0.154230,0.009088,0.786658,0.332382,0.032045,0.997473,0.011364,0.187005,0.203032,0.023280,0.800551,0.498487,0.082087,1.015089,0.017043,0.283597,0.788651,29.248373
135,0.118478,0.131965,0.004921,0.784413,0.243014,0.017353,0.994627,0.008309,0.157505,0.172249,0.015259,0.796984,0.386457,0.053806,1.010566,0.013213,0.283597,0.788651,29.248373
136,0.118906,0.134813,0.004985,0.785306,0.256489,0.017576,0.995758,0.008769,0.228026,0.337772,0.034162,0.787700,1.124201,0.120459,0.998794,0.038436,0.283597,0.788651,29.248373
137,0.134595,0.170636,0.009147,0.784736,0.415078,0.032253,0.995036,0.014191,0.175953,0.206148,0.020187,0.797658,0.530978,0.071181,1.011420,0.018154,0.283597,0.788651,29.248373
138,0.147573,0.204935,0.012594,0.782861,0.570274,0.044408,0.992659,0.019498,0.224732,0.307401,0.033753,0.780993,0.977747,0.119017,0.990289,0.033429,0.283597,0.788651,29.248373
139,0.124893,0.144187,0.006619,0.784977,0.295353,0.023339,0.995341,0.010098,0.179094,0.214264,0.021304,0.789242,0.570180,0.075121,1.000749,0.019494,0.283597,0.788651,29.248373
140,0.123474,0.143186,0.006236,0.784603,0.292452,0.021988,0.994867,0.009999,0.163902,0.200530,0.017174,0.786815,0.523375,0.060556,0.997672,0.017894,0.283597,0.788651,29.248373
